#n_l	N_0	probability

1.45313	0.042	2.82191e-09
1.45414	0.042	2.27964e-12
1.45514	0.042	4.37128e-09
1.45615	0.042	3.84646e-08
1.45716	0.042	1.1939e-08
1.45817	0.042	2.59381e-07
1.45918	0.042	1.40684e-07
1.46018	0.042	1.456e-06
1.46119	0.042	6.41723e-07
1.4622	0.042	1.61622e-06
1.46321	0.042	7.99307e-05
1.46422	0.042	6.84887e-06
1.46522	0.042	4.98905e-05
1.46623	0.042	7.95307e-07
1.46724	0.042	0.00148955
1.46825	0.042	2.94507e-07
1.46926	0.042	1.66136e-05
1.47026	0.042	4.5891e-06
1.47127	0.042	1.35754e-05
1.47228	0.042	1.01482e-05
1.47329	0.042	1.30873e-06
1.4743	0.042	1.33655e-05
1.4753	0.042	1.80487e-07
1.47631	0.042	1.48462e-05
1.47732	0.042	3.81131e-06
1.47833	0.042	2.43536e-06
1.47934	0.042	1.69783e-06
1.48034	0.042	2.65492e-08
1.48135	0.042	1.85787e-06
1.48236	0.042	1.69904e-07
1.48337	0.042	3.95166e-09
1.48438	0.042	7.72326e-08
1.48538	0.042	5.18625e-09
1.48639	0.042	4.35456e-09
1.4874	0.042	7.84178e-09
1.48841	0.042	5.76314e-11
1.48942	0.042	2.54451e-10
1.49042	0.042	3.93956e-10
1.49143	0.042	1.79969e-12
1.49244	0.042	2.77336e-12
1.49345	0.042	1.33367e-12
1.49446	0.042	9.97155e-15
1.49546	0.042	5.4813e-14
1.49647	0.042	3.41846e-15
1.49748	0.042	1.68204e-19
1.49849	0.042	4.34049e-16
1.4995	0.042	2.80021e-23
1.4501	0.046	0
1.45111	0.046	8.07377e-12
1.45212	0.046	8.85376e-19
1.45313	0.046	1.69554e-11
1.45414	0.046	8.5334e-12
1.45514	0.046	1.00302e-09
1.45615	0.046	6.44333e-09
1.45716	0.046	2.87284e-09
1.45817	0.046	8.26499e-07
1.45918	0.046	4.77629e-08
1.46018	0.046	4.02441e-06
1.46119	0.046	1.16693e-07
1.4622	0.046	1.77303e-06
1.46321	0.046	5.46503e-07
1.46422	0.046	1.0173e-07
1.46522	0.046	2.15459e-05
1.46623	0.046	5.39403e-08
1.46724	0.046	3.39352e-06
1.46825	0.046	2.01539e-08
1.46926	0.046	3.01966e-06
1.47026	0.046	1.90045e-07
1.47127	0.046	2.17014e-06
1.47228	0.046	6.92566e-07
1.47329	0.046	1.17947e-07
1.4743	0.046	1.35294e-06
1.4753	0.046	1.25375e-08
1.47631	0.046	7.03993e-07
1.47732	0.046	6.39445e-08
1.47833	0.046	1.69251e-08
1.47934	0.046	3.5162e-08
1.48034	0.046	1.03273e-09
1.48135	0.046	2.03991e-08
1.48236	0.046	1.56305e-08
1.48337	0.046	2.25886e-10
1.48438	0.046	1.41703e-09
1.48538	0.046	1.41733e-10
1.48639	0.046	8.42742e-11
1.4874	0.046	1.35501e-09
1.48841	0.046	2.15719e-12
1.48942	0.046	3.03613e-12
1.49042	0.046	2.72437e-11
1.49143	0.046	4.72717e-14
1.49244	0.046	2.37875e-13
1.49345	0.046	4.87104e-14
1.49446	0.046	1.64308e-16
1.49546	0.046	3.93652e-15
1.49647	0.046	2.36416e-17
1.49748	0.046	3.96244e-19
1.49849	0.046	2.35423e-18
1.4995	0.046	2.09213e-24
1.4501	0.05	0
1.45111	0.05	1.69772e-13
1.45212	0.05	1.3088e-17
1.45313	0.05	1.06762e-12
1.45414	0.05	1.82675e-12
1.45514	0.05	4.4549e-12
1.45615	0.05	1.16546e-10
1.45716	0.05	2.56028e-11
1.45817	0.05	3.33037e-09
1.45918	0.05	1.18084e-10
1.46018	0.05	9.95642e-09
1.46119	0.05	2.49121e-09
1.4622	0.05	2.75468e-08
1.46321	0.05	3.81541e-09
1.46422	0.05	1.16355e-08
1.46522	0.05	3.37664e-08
1.46623	0.05	7.70225e-09
1.46724	0.05	2.24926e-07
1.46825	0.05	1.75132e-09
1.46926	0.05	1.71617e-07
1.47026	0.05	1.83985e-09
1.47127	0.05	4.68198e-08
1.47228	0.05	9.61003e-09
1.47329	0.05	5.13756e-09
1.4743	0.05	5.117e-08
1.4753	0.05	6.35434e-10
1.47631	0.05	2.40868e-08
1.47732	0.05	7.98376e-10
1.47833	0.05	3.39157e-09
1.47934	0.05	5.69729e-09
1.48034	0.05	5.60904e-11
1.48135	0.05	2.50543e-09
1.48236	0.05	2.3578e-10
