#gamma	theta_0	probability

2.66495e-05	0.0002104	4.95843e-27
2.66565e-05	0.0002104	8.94299e-27
2.66635e-05	0.0002104	6.75786e-26
2.66705e-05	0.0002104	7.99994e-26
2.66775e-05	0.0002104	2.69424e-25
2.66845e-05	0.0002104	2.58854e-25
2.66915e-05	0.0002104	6.7004e-25
2.66985e-05	0.0002104	6.25212e-25
2.67055e-05	0.0002104	7.03852e-25
2.67125e-05	0.0002104	1.76806e-23
2.67195e-05	0.0002104	6.77095e-24
2.67265e-05	0.0002104	2.688e-24
2.67335e-05	0.0002104	6.86224e-24
2.67405e-05	0.0002104	1.33861e-23
2.67475e-05	0.0002104	9.69013e-24
2.67545e-05	0.0002104	3.99771e-23
2.67615e-05	0.0002104	3.89624e-23
2.67685e-05	0.0002104	8.28189e-23
2.67755e-05	0.0002104	1.01887e-22
2.67825e-05	0.0002104	2.13414e-22
2.67895e-05	0.0002104	2.48726e-22
2.67965e-05	0.0002104	7.61509e-22
2.68035e-05	0.0002104	1.65409e-21
2.68105e-05	0.0002104	1.24945e-21
2.68175e-05	0.0002104	2.12615e-21
2.68245e-05	0.0002104	7.05646e-22
2.68315e-05	0.0002104	5.71746e-22
2.68385e-05	0.0002104	1.18118e-22
2.68455e-05	0.0002104	1.12151e-22
2.68525e-05	0.0002104	2.51165e-22
2.68595e-05	0.0002104	1.3029e-22
2.68665e-05	0.0002104	3.87851e-23
2.68735e-05	0.0002104	5.68749e-23
2.68805e-05	0.0002104	6.26727e-24
2.68875e-05	0.0002104	4.47107e-24
2.68945e-05	0.0002104	1.4182e-24
2.69015e-05	0.0002104	2.91492e-25
2.69085e-05	0.0002104	1.4944e-25
2.69155e-05	0.0002104	4.74135e-26
2.69225e-05	0.0002104	5.22723e-26
2.69295e-05	0.0002104	1.66463e-26
2.69365e-05	0.0002104	3.3576e-26
2.69435e-05	0.0002104	2.4131e-26
2.69505e-05	0.0002104	1.71481e-26
2.69575e-05	0.0002104	3.58203e-26
2.69645e-05	0.0002104	1.84665e-26
2.69715e-05	0.0002104	7.19267e-27
2.69785e-05	0.0002104	5.30242e-27
2.69855e-05	0.0002104	1.99865e-27
2.69925e-05	0.0002104	1.03408e-27
2.69995e-05	0.0002104	1.69759e-27
2.70065e-05	0.0002104	2.08371e-28
2.70135e-05	0.0002104	1.01249e-28
2.70205e-05	0.0002104	2.22264e-29
2.70275e-05	0.0002104	1.79798e-29
2.70345e-05	0.0002104	1.26589e-30
2.70415e-05	0.0002104	6.48537e-32
2.70485e-05	0.0002104	3.60786e-32
2.70555e-05	0.0002104	5.08538e-33
2.70625e-05	0.0002104	8.89697e-34
2.70695e-05	0.0002104	2.41834e-34
2.70765e-05	0.0002104	1.60877e-34
2.70835e-05	0.0002104	2.09628e-35
2.70905e-05	0.0002104	7.80346e-36
2.70975e-05	0.0002104	1.30083e-36
2.71045e-05	0.0002104	7.38145e-37
2.71115e-05	0.0002104	5.09203e-37
2.71185e-05	0.0002104	1.94644e-37
2.71255e-05	0.0002104	4.92335e-38
2.71325e-05	0.0002104	1.98618e-38
2.71395e-05	0.0002104	6.36871e-39
2.71465e-05	0.0002104	4.03437e-39
2.71535e-05	0.0002104	5.76209e-40
2.71605e-05	0.0002104	2.58143e-41
2.71675e-05	0.0002104	8.88062e-42
2.71745e-05	0.0002104	6.9038e-43
2.71815e-05	0.0002104	1.23694e-43
2.71885e-05	0.0002104	6.34453e-45
2.71955e-05	0.0002104	2.16845e-45
2.72025e-05	0.0002104	1.7493e-47
2.72095e-05	0.0002104	1.66283e-50
2.72165e-05	0.0002104	1.28809e-51
2.65235e-05	0.0002248	2.61506e-32
2.65305e-05	0.0002248	1.74878e-31
2.65375e-05	0.0002248	9.38813e-31
2.65445e-05	0.0002248	1.47043e-30
2.65515e-05	0.0002248	1.19867e-30
2.65585e-05	0.0002248	5.14846e-30
2.65655e-05	0.0002248	2.50512e-29
2.65725e-05	0.0002248	1.88909e-29
2.65795e-05	0.0002248	1.05163e-28
2.65865e-05	0.0002248	1.09651e-28
2.65935e-05	0.0002248	2.42822e-28
2.66005e-05	0.0002248	5.9907e-28
2.66075e-05	0.0002248	8.62484e-28
2.66145e-05	0.0002248	1.16354e-27
2.66215e-05	0.0002248	1.54541e-26
2.66285e-05	0.0002248	1.29787e-25
2.66355e-05	0.0002248	1.36009e-24
2.66425e-05	0.0002248	5.8467e-24
2.66495e-05	0.0002248	2.87765e-24
2.66565e-05	0.0002248	3.97299e-24
2.66635e-05	0.0002248	1.05008e-23
2.66705e-05	0.0002248	5.19962e-23
2.66775e-05	0.0002248	1.37901e-22
2.66845e-05	0.0002248	2.82327e-22
2.66915e-05	0.0002248	4.23032e-22
2.66985e-05	0.0002248	8.83424e-22
2.67055e-05	0.0002248	2.0172e-21
2.67125e-05	0.0002248	5.79704e-21
2.67195e-05	0.0002248	1.02341e-20
2.67265e-05	0.0002248	4.94123e-20
2.67335e-05	0.0002248	3.01377e-20
2.67405e-05	0.0002248	3.91541e-20
2.67475e-05	0.0002248	1.66406e-20
2.67545e-05	0.0002248	2.85927e-20
2.67615e-05	0.0002248	1.39183e-20
2.67685e-05	0.0002248	9.5047e-21
2.67755e-05	0.0002248	1.56254e-20
2.67825e-05	0.0002248	1.05882e-20
2.67895e-05	0.0002248	2.77079e-20
2.67965e-05	0.0002248	4.55841e-20
2.68035e-05	0.0002248	9.75632e-20
2.68105e-05	0.0002248	3.53947e-20
2.68175e-05	0.0002248	4.90235e-20
2.68245e-05	0.0002248	6.47489e-20
2.68315e-05	0.0002248	6.1235e-20
2.68385e-05	0.0002248	3.63861e-20
2.68455e-05	0.0002248	1.47202e-20
2.68525e-05	0.0002248	1.43153e-20
2.68595e-05	0.0002248	5.93002e-21
2.68665e-05	0.0002248	4.32963e-21
2.68735e-05	0.0002248	5.21824e-21
2.68805e-05	0.0002248	4.28393e-21
2.68875e-05	0.0002248	3.04905e-21
2.68945e-05	0.0002248	6.88172e-22
2.69015e-05	0.0002248	1.84967e-22
2.69085e-05	0.0002248	1.04633e-22
2.69155e-05	0.0002248	1.36694e-22
2.69225e-05	0.0002248	7.22995e-23
2.69295e-05	0.0002248	5.14208e-23
2.69365e-05	0.0002248	6.86989e-23
2.69435e-05	0.0002248	5.14829e-23
2.69505e-05	0.0002248	6.32564e-23
2.69575e-05	0.0002248	3.69711e-23
2.69645e-05	0.0002248	2.62557e-23
2.69715e-05	0.0002248	5.46221e-24
2.69785e-05	0.0002248	3.70748e-24
2.69855e-05	0.0002248	2.01341e-24
2.69925e-05	0.0002248	1.51346e-24
2.69995e-05	0.0002248	1.89642e-24
2.70065e-05	0.0002248	7.76069e-25
2.70135e-05	0.0002248	1.79193e-25
2.70205e-05	0.0002248	5.47257e-26
2.70275e-05	0.0002248	7.70952e-27
2.70345e-05	0.0002248	4.03916e-27
2.70415e-05	0.0002248	7.17066e-28
2.70485e-05	0.0002248	1.04996e-27
2.70555e-05	0.0002248	6.52836e-29
2.70625e-05	0.0002248	5.35095e-30
2.70695e-05	0.0002248	2.54549e-31
2.70765e-05	0.0002248	3.39627e-32
2.70835e-05	0.0002248	6.71363e-33
2.70905e-05	0.0002248	1.52577e-33
2.70975e-05	0.0002248	5.81846e-34
2.71045e-05	0.0002248	8.34204e-35
2.71115e-05	0.0002248	2.94769e-35
2.71185e-05	0.0002248	9.92581e-36
2.71255e-05	0.0002248	3.9766e-36
2.71325e-05	0.0002248	2.5747e-36
2.71395e-05	0.0002248	5.6055e-37
2.71465e-05	0.0002248	1.59783e-37
2.71535e-05	0.0002248	1.27079e-37
2.71605e-05	0.0002248	3.61942e-38
2.71675e-05	0.0002248	1.2483e-39
2.71745e-05	0.0002248	1.61796e-40
2.71815e-05	0.0002248	5.22987e-41
2.71885e-05	0.0002248	5.09206e-42
2.71955e-05	0.0002248	1.45867e-42
2.72025e-05	0.0002248	6.83852e-44
2.72095e-05	0.0002248	2.31926e-45
2.72165e-05	0.0002248	1.18772e-47
2.65235e-05	0.0002392	1.68644e-30
2.65305e-05	0.0002392	4.9838e-30
2.65375e-05	0.0002392	2.30943e-29
2.65445e-05	0.0002392	3.82593e-29
2.65515e-05	0.0002392	1.27575e-28
2.65585e-05	0.0002392	2.72173e-28
2.65655e-05	0.0002392	6.05556e-28
2.65725e-05	0.0002392	1.01877e-27
2.65795e-05	0.0002392	1.08505e-26
2.65865e-05	0.0002392	1.40178e-26
2.65935e-05	0.0002392	1.80314e-26
2.66005e-05	0.0002392	1.37669e-25
2.66075e-05	0.0002392	1.46816e-24
2.66145e-05	0.0002392	5.97975e-24
2.66215e-05	0.0002392	5.66334e-23
2.66285e-05	0.0002392	5.80456e-21
2.66355e-05	0.0002392	5.04899e-21
2.66425e-05	0.0002392	2.84016e-21
2.66495e-05	0.0002392	5.42789e-21
2.66565e-05	0.0002392	1.79631e-21
2.66635e-05	0.0002392	3.1056e-21
2.66705e-05	0.0002392	1.21526e-20
2.66775e-05	0.0002392	3.70313e-20
2.66845e-05	0.0002392	8.68746e-20
2.66915e-05	0.0002392	2.46321e-19
2.66985e-05	0.0002392	3.59999e-19
2.67055e-05	0.0002392	8.37576e-19
2.67125e-05	0.0002392	1.93623e-18
2.67195e-05	0.0002392	5.06885e-18
2.67265e-05	0.0002392	7.94767e-18
2.67335e-05	0.0002392	6.07273e-18
2.67405e-05	0.0002392	3.99102e-17
2.67475e-05	0.0002392	2.61656e-17
2.67545e-05	0.0002392	4.04936e-17
2.67615e-05	0.0002392	2.10541e-17
2.67685e-05	0.0002392	4.54333e-17
2.67755e-05	0.0002392	1.48062e-17
2.67825e-05	0.0002392	2.57029e-17
2.67895e-05	0.0002392	4.66465e-18
2.67965e-05	0.0002392	2.52167e-18
2.68035e-05	0.0002392	2.12999e-18
2.68105e-05	0.0002392	2.0294e-18
2.68175e-05	0.0002392	2.14568e-18
2.68245e-05	0.0002392	2.06851e-18
2.68315e-05	0.0002392	3.06123e-18
2.68385e-05	0.0002392	3.09509e-18
2.68455e-05	0.0002392	1.67207e-18
2.68525e-05	0.0002392	2.77056e-18
2.68595e-05	0.0002392	1.62875e-18
2.68665e-05	0.0002392	1.7051e-18
2.68735e-05	0.0002392	9.02946e-19
2.68805e-05	0.0002392	1.31e-18
2.68875e-05	0.0002392	8.26635e-19
2.68945e-05	0.0002392	8.09029e-19
2.69015e-05	0.0002392	3.18086e-19
2.69085e-05	0.0002392	6.58265e-20
2.69155e-05	0.0002392	4.52553e-20
2.69225e-05	0.0002392	3.96111e-20
2.69295e-05	0.0002392	1.22182e-20
2.69365e-05	0.0002392	1.257e-20
2.69435e-05	0.0002392	2.3903e-20
2.69505e-05	0.0002392	2.16198e-20
2.69575e-05	0.0002392	1.63893e-20
2.69645e-05	0.0002392	1.7556e-20
2.69715e-05	0.0002392	6.314e-21
2.69785e-05	0.0002392	3.32643e-21
2.69855e-05	0.0002392	1.78059e-21
2.69925e-05	0.0002392	5.05848e-22
2.69995e-05	0.0002392	2.71804e-22
2.70065e-05	0.0002392	7.02826e-22
2.70135e-05	0.0002392	6.09252e-23
2.70205e-05	0.0002392	2.97831e-23
2.70275e-05	0.0002392	3.84982e-24
2.70345e-05	0.0002392	3.40204e-24
2.70415e-05	0.0002392	6.42145e-25
2.70485e-05	0.0002392	3.14313e-25
2.70555e-05	0.0002392	1.87014e-26
2.70625e-05	0.0002392	3.50504e-27
2.70695e-05	0.0002392	7.73443e-28
2.70765e-05	0.0002392	4.30582e-29
2.70835e-05	0.0002392	6.04697e-30
2.70905e-05	0.0002392	2.74691e-30
2.70975e-05	0.0002392	1.71998e-31
2.71045e-05	0.0002392	2.56633e-32
2.71115e-05	0.0002392	9.44405e-33
2.71185e-05	0.0002392	3.19557e-33
2.71255e-05	0.0002392	9.90153e-34
2.71325e-05	0.0002392	3.41387e-34
2.71395e-05	0.0002392	6.82944e-35
2.71465e-05	0.0002392	1.74095e-35
2.71535e-05	0.0002392	5.95595e-36
2.71605e-05	0.0002392	4.2623e-36
2.71675e-05	0.0002392	2.59143e-37
2.71745e-05	0.0002392	5.73484e-38
2.71815e-05	0.0002392	1.61702e-38
2.71885e-05	0.0002392	8.75158e-39
2.71955e-05	0.0002392	7.5494e-40
2.72025e-05	0.0002392	3.88472e-41
2.72095e-05	0.0002392	2.15023e-42
2.72165e-05	0.0002392	2.67994e-43
2.65235e-05	0.0002536	3.35044e-28
2.65305e-05	0.0002536	3.61861e-28
2.65375e-05	0.0002536	4.29665e-28
2.65445e-05	0.0002536	4.6548e-27
2.65515e-05	0.0002536	1.06945e-26
2.65585e-05	0.0002536	1.93426e-26
2.65655e-05	0.0002536	2.17254e-25
2.65725e-05	0.0002536	2.67232e-24
2.65795e-05	0.0002536	2.98151e-24
2.65865e-05	0.0002536	3.78138e-24
2.65935e-05	0.0002536	5.22524e-23
2.66005e-05	0.0002536	1.29518e-22
2.66075e-05	0.0002536	1.42311e-21
2.66145e-05	0.0002536	5.79447e-21
2.66215e-05	0.0002536	3.49227e-20
2.66285e-05	0.0002536	4.22913e-19
2.66355e-05	0.0002536	2.81332e-19
2.66425e-05	0.0002536	1.09339e-19
2.66495e-05	0.0002536	1.63352e-19
2.66565e-05	0.0002536	1.86646e-19
2.66635e-05	0.0002536	3.75057e-19
2.66705e-05	0.0002536	1.69371e-18
2.66775e-05	0.0002536	6.26697e-18
2.66845e-05	0.0002536	2.69727e-17
2.66915e-05	0.0002536	2.06634e-17
2.66985e-05	0.0002536	9.22955e-17
2.67055e-05	0.0002536	7.94994e-17
2.67125e-05	0.0002536	1.40384e-16
2.67195e-05	0.0002536	6.42676e-16
2.67265e-05	0.0002536	1.13013e-15
2.67335e-05	0.0002536	2.63191e-15
2.67405e-05	0.0002536	4.90494e-15
2.67475e-05	0.0002536	3.92977e-15
2.67545e-05	0.0002536	6.21442e-15
2.67615e-05	0.0002536	4.77515e-15
2.67685e-05	0.0002536	2.52528e-15
2.67755e-05	0.0002536	3.69672e-15
2.67825e-05	0.0002536	8.65728e-15
